Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
398947;1000009231777191100;63721295300861;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0824002050265843, 0.557445214152397, 0.826114422722522;0, 0, 0;VALID;-0.0969558690678374, 0.691641062416746, 0.715703989252774;-0.0338227, 0, 0;0.138655588030815;VALID;-0.0653386801445347, 0.406296979269796, 0.911402008727877;0.0338227, 0, 0;0.138392135500908;2;1
398948;1000009231787279100;63721295300877;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0823723663888291, 0.557400846851003, 0.826147135312645;0, 0, 0;VALID;-0.0969628498188942, 0.691641172189267, 0.715702937459149;-0.0338227, 0, 0;0.138680636882782;VALID;-0.0652751874019558, 0.406198106962608, 0.91145062828967;0.0338227, 0, 0;0.138444855809212;2;1
398949;1000009231797470000;63721295300894;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0823273531931454, 0.557456711488228, 0.826113927816825;0, 0, 0;VALID;-0.0969587727707104, 0.691799593266349, 0.715550361008442;-0.0338227, 0, 0;0.138882339000702;VALID;-0.0651860697667074, 0.406118986645087, 0.911492262717977;0.0338227, 0, 0;0.13882677257061;2;1
398950;1000009231807340800;63721295300894;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0823035571761176, 0.557452639063705, 0.826119046915799;0, 0, 0;VALID;-0.0969604921784194, 0.691847136249108, 0.715504160030133;-0.0338227, 0, 0;0.138828709721565;VALID;-0.0651353464229478, 0.406048946373635, 0.911527092189378;0.0338227, 0, 0;0.138661712408066;2;1
398951;1000009231817388600;63721295300911;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0822848644467243, 0.557571414031667, 0.826040749199282;0, 0, 0;VALID;-0.0969601078715354, 0.692058260073711, 0.715300008489647;-0.0338227, 0, 0;0.138417541980743;VALID;-0.0650945359062887, 0.40604207088207, 0.911533070200388;0.0338227, 0, 0;0.13864478468895;2;1
398952;1000009231827175300;63721295300911;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0822642213503362, 0.557601427515988, 0.826022545647366;0, 0, 0;VALID;-0.0969727671313623, 0.692129975484233, 0.71522890005304;-0.0338227, 0, 0;0.139439880847931;VALID;-0.0650392538872002, 0.406016128761747, 0.911548571738841;0.0338227, 0, 0;0.139132171869278;2;1
398953;1000009231837309100;63721295300927;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0822396769329855, 0.557684882930296, 0.825968647642863;0, 0, 0;VALID;-0.0969847328075012, 0.692232740963837, 0.715127816505519;-0.0338227, 0, 0;0.138869985938072;VALID;-0.0649775743755523, 0.406068391640367, 0.911529690212488;0.0338227, 0, 0;0.138961017131805;2;1
398954;1000009231847463900;63721295300944;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0822043683816672, 0.557779784629425, 0.825908078225249;0, 0, 0;VALID;-0.0969822686161355, 0.692378131924052, 0.714987385907911;-0.0338227, 0, 0;0.139344662427902;VALID;-0.0649078494903049, 0.406091900614761, 0.911524184720096;0.0338227, 0, 0;0.138978853821754;2;1
398955;1000009231857352900;63721295300944;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0821776842781216, 0.557679816277292, 0.825978238650154;0, 0, 0;VALID;-0.0969855780618693, 0.692188033561901, 0.715170975251173;-0.0338227, 0, 0;0.139572858810425;VALID;-0.0648559764588705, 0.406112182415182, 0.911518841062292;0.0338227, 0, 0;0.139201492071152;2;1
398956;1000009231867388100;63721295300961;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0821515963240502, 0.557597161006999, 0.826036634331883;0, 0, 0;VALID;-0.0969884872182128, 0.692089879950239, 0.715265567057151;-0.0338227, 0, 0;0.139486148953438;VALID;-0.0648026201800504, 0.406053871336058, 0.911548613070526;0.0338227, 0, 0;0.139071241021156;2;1
398957;1000009231877298300;63721295300961;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0821138496989671, 0.557579224703477, 0.826052494619249;0, 0, 0;VALID;-0.0969863855280462, 0.692055898444355, 0.715298730916378;-0.0338227, 0, 0;0.139554768800735;VALID;-0.0647309650358047, 0.406056481855196, 0.911552541386899;0.0338227, 0, 0;0.139304891228676;2;1
398958;1000009231887387300;63721295300979;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0820672679346397, 0.557536028514131, 0.826086279054697;0, 0, 0;VALID;-0.096987729737266, 0.69197530387458, 0.715376515625229;-0.0338227, 0, 0;0.139542922377586;VALID;-0.0646393892479879, 0.406062248575532, 0.911556470899872;0.0338227, 0, 0;0.139663890004158;2;1
398959;1000009231897275500;63721295300994;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0820178481560589, 0.557464745371021, 0.826139292282042;0, 0, 0;VALID;-0.0969895710443182, 0.691813831402208, 0.715532421200631;-0.0338227, 0, 0;0.139753475785255;VALID;-0.0645439485960479, 0.406108686924059, 0.911542545965051;0.0338227, 0, 0;0.139883473515511;2;1
398960;1000009231907594000;63721295300994;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0819545795071348, 0.557363637417771, 0.82621378745591;0, 0, 0;VALID;-0.0969862074836754, 0.691649053685658, 0.715692155953708;-0.0338227, 0, 0;0.140001967549324;VALID;-0.064425504235306, 0.406093370307719, 0.911557748579948;0.0338227, 0, 0;0.14036101102829;2;1
398961;1000009231917714700;63721295301011;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0818951532664106, 0.557167077425961, 0.826352244326887;0, 0, 0;VALID;-0.0969910324327984, 0.691311766485861, 0.716017305060302;-0.0338227, 0, 0;0.140293955802917;VALID;-0.0643099495483854, 0.406086469329576, 0.9115689824783;0.0338227, 0, 0;0.140553906559944;2;1
398962;1000009231927638600;63721295301011;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0818383095664212, 0.556973447657463, 0.826488396586346;0, 0, 0;VALID;-0.0969994577846534, 0.690951965770939, 0.716363375799432;-0.0338227, 0, 0;0.140571787953377;VALID;-0.0641968366384149, 0.406114387750885, 0.911564517863297;0.0338227, 0, 0;0.140083894133568;2;1
398963;1000009231937429700;63721295301028;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0818388599521195, 0.555908707655942, 0.827204877738301;0, 0, 0;VALID;-0.0971970954482766, 0.689062169277979, 0.718154615320646;-0.0338227, 0, 0;0.140705838799477;VALID;-0.064037106007089, 0.406157102024549, 0.911556722058072;0.0338227, 0, 0;0.140352949500084;2;1
398964;1000009231947596800;63721295301045;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.081764041780537, 0.555616269751151, 0.827408727449455;0, 0, 0;VALID;-0.0971964521246269, 0.688522641634532, 0.718671984740598;-0.0338227, 0, 0;0.140623033046722;VALID;-0.0639011182571629, 0.406193680752678, 0.911549966157684;0.0338227, 0, 0;0.140886694192886;2;1
398965;1000009231957467200;63721295301045;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0816517635117939, 0.555112466245938, 0.82775789898603;0, 0, 0;VALID;-0.0971827112192921, 0.687709997364467, 0.719451513421879;-0.0338227, 0, 0;0.140484049916267;VALID;-0.0637077131648053, 0.406109369590315, 0.911601068019486;0.0338227, 0, 0;0.140728414058685;2;1
398966;1000009231967690700;63721295301061;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0815731770478062, 0.551530172821797, 0.830156783537596;0, 0, 0;VALID;-0.097556377343342, 0.681291875610859, 0.725482000787257;-0.0338227, 0, 0;0.141185373067856;VALID;-0.0633018187626141, 0.4062978433249, 0.911545359403952;0.0338227, 0, 0;0.141058638691902;2;1
398967;1000009231978021300;63721295301061;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0802719570740345, 0.5360257937632, 0.840376559244744;0, 0, 0;VALID;-0.098319667900808, 0.648862078854403, 0.754527166859231;-0.0338227, 0, 0;0.139024391770363;VALID;-0.0605844615230143, 0.412239645974562, 0.909058852500064;0.0338227, 0, 0;0.139818549156189;2;0.866318413207587
398968;1000009231988349000;63721295301078;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0768101532732517, 0.475384136592093, 0.876418919827002;0, 0, 0;VALID;-0.0977007697063791, 0.537730305493272, 0.837436969659743;-0.0338227, 0, 0;0.13507042825222;VALID;-0.0554707308845787, 0.410260272001186, 0.910279905980926;0.0338227, 0, 0;0.137532815337181;2;0
398969;1000009231999568600;63721295301095;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0622062596862746, 0.421402894055979, 0.904737521128139;0, 0, 0;VALID;-0.0820668611507881, 0.443169969914521, 0.892673180994489;-0.0338227, 0, 0;0.139103710651398;VALID;-0.0422825936783716, 0.399208601045485, 0.915884640728916;0.0338227, 0, 0;0.138185366988182;2;0
398970;1000009232008968000;63721295301095;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0255730564355613, 0.370022433120873, 0.928670780078631;0.0338227, 0, 0;INVALID;;;;VALID;-0.0255730564355613, 0.370022433120873, 0.928670780078631;0.0338227, 0, 0;0.141975209116936;2;0
398971;1000009232018327500;63721295301112;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0145275286933738, 0.312959345037868, 0.949655410800956;0, 0, 0;VALID;-0.0164028936639013, 0.299472153272369, 0.953964032075561;-0.0338227, 0, 0;0.138389825820923;VALID;-0.0126492003168753, 0.326382697618373, 0.945153073542428;0.0338227, 0, 0;0.140462771058083;2;0
398972;1000009232028222700;63721295301112;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.00254617604013103, 0.282650014872925, 0.959219727737033;0, 0, 0;VALID;-0.00131603009703547, 0.28061829000008, 0.959818547113054;-0.0338227, 0, 0;0.138938039541245;VALID;-0.00377630670680779, 0.284680043916443, 0.958615153282791;0.0338227, 0, 0;0.140796765685081;2;0
398973;1000009232038416100;63721295301128;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.00535642953969602, 0.270434805232985, 0.962723389547166;0, 0, 0;VALID;0.00714233642205183, 0.277312195798479, 0.960753315420696;-0.0338227, 0, 0;0.140062764286995;VALID;0.00357023143278457, 0.263542711355257, 0.964641121215054;0.0338227, 0, 0;0.141025081276894;2;0
398974;1000009232048166100;63721295301145;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0111961053904118, 0.263323603031761, 0.964642590450193;0, 0, 0;VALID;0.0125264603125614, 0.274243786187174, 0.961578615366295;-0.0338227, 0, 0;0.140096172690392;VALID;0.00986429040444908, 0.252369080322503, 0.967580768242109;0.0338227, 0, 0;0.142694279551506;2;0
398975;1000009232058045600;63721295301145;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0148008154285122, 0.257851507637477, 0.966071185716524;0, 0, 0;VALID;0.0160574433252651, 0.27069531708325, 0.962531144339265;-0.0338227, 0, 0;0.140240430831909;VALID;0.0135415370839109, 0.244961523575384, 0.96943822842976;0.0338227, 0, 0;0.141347080469131;2;0
398976;1000009232068051400;63721295301162;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0170236911559726, 0.254802518828245, 0.966843250138412;0, 0, 0;VALID;0.0180123032615867, 0.268779893181482, 0.963033190472978;-0.0338227, 0, 0;0.140134751796722;VALID;0.0160314894194798, 0.240771416585965, 0.970449440363681;0.0338227, 0, 0;0.14316999912262;2;0
398977;1000009232078005900;63721295301162;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0184038829558777, 0.252856945981621, 0.967328621493748;0, 0, 0;VALID;0.0191349311805477, 0.267457410995454, 0.96337966955522;-0.0338227, 0, 0;0.140247792005539;VALID;0.0176686146797769, 0.238198500305814, 0.971055762820735;0.0338227, 0, 0;0.141798824071884;2;0
398978;1000009232087943700;63721295301178;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.019391234492548, 0.251979546941056, 0.967538261748979;0, 0, 0;VALID;0.019821562211503, 0.267170691508789, 0.963445342129075;-0.0338227, 0, 0;0.14086902141571;VALID;0.0189561034087828, 0.236725985012057, 0.971391514356403;0.0338227, 0, 0;0.142034396529198;2;0
398979;1000009232098141300;63721295301195;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.019747015517702, 0.25132437239498, 0.967701459758335;0, 0, 0;VALID;0.0202708452962801, 0.266726582337132, 0.963559039761305;-0.0338227, 0, 0;0.140851110219955;VALID;0.0192181569224431, 0.235858159657314, 0.971597442857673;0.0338227, 0, 0;0.141996249556541;2;0
398980;1000009232108122500;63721295301195;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0202708527899263, 0.250955253051802, 0.967786419357533;0, 0, 0;VALID;0.0206471878636188, 0.266573442926719, 0.963593427312328;-0.0338227, 0, 0;0.140931218862534;VALID;0.0198892138341142, 0.235271400567951, 0.971726189442199;0.0338227, 0, 0;0.142302215099335;2;0
398981;1000009232118133700;63721295301212;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0204408203498125, 0.250521180229905, 0.967895299668121;0, 0, 0;VALID;0.0209065073151077, 0.266395511038224, 0.96363704248569;-0.0338227, 0, 0;0.141094043850899;VALID;0.019969607331438, 0.234579122524342, 0.971891892166376;0.0338227, 0, 0;0.142396286129951;2;0
398982;1000009232128352000;63721295301212;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0205204352640375, 0.250240930985612, 0.967966109012102;0, 0, 0;VALID;0.0210600803081571, 0.266551885699189, 0.963590455145556;-0.0338227, 0, 0;0.141202941536903;VALID;0.0199749319474128, 0.233858536288099, 0.972065423260638;0.0338227, 0, 0;0.142210751771927;2;0
398983;1000009232138088900;63721295301229;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.020553772431896, 0.250080455594643, 0.968006874029515;0, 0, 0;VALID;0.0210978306613206, 0.266737368081211, 0.963538301268037;-0.0338227, 0, 0;0.141076654195786;VALID;0.0200035949975638, 0.233349089936221, 0.972187254809027;0.0338227, 0, 0;0.14271591603756;2;0
398984;1000009232148242600;63721295301245;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0204602194548004, 0.250092133570336, 0.968005838900829;0, 0, 0;VALID;0.0211075291270205, 0.26700604962685, 0.963463669100613;-0.0338227, 0, 0;0.141417875885963;VALID;0.0198066258175241, 0.23310140649859, 0.972250704222992;0.0338227, 0, 0;0.142735719680786;2;0
398985;1000009232158235400;63721295301245;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0209376120555934, 0.249824403941119, 0.968064762088195;0, 0, 0;VALID;0.0218584771097177, 0.266945562974297, 0.963463685556845;-0.0338227, 0, 0;0.141395926475525;VALID;0.0200101484714826, 0.232624512251303, 0.972360751088809;0.0338227, 0, 0;0.142460331320763;2;0
398986;1000009232168326200;63721295301261;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0208606906889025, 0.249415048343033, 0.968171970903942;0, 0, 0;VALID;0.021818095865953, 0.266951395221522, 0.963462984905008;-0.0338227, 0, 0;0.141096830368042;VALID;0.0198963886622003, 0.23179624119921, 0.972560865079466;0.0338227, 0, 0;0.142524480819702;2;0
398987;1000009232178319500;63721295301261;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0210522880319943, 0.249137693927983, 0.96823923212854;0, 0, 0;VALID;0.0223390992174699, 0.267202185931004, 0.963381521765829;-0.0338227, 0, 0;0.141738161444664;VALID;0.0197580753019484, 0.230985610317677, 0.972756529809249;0.0338227, 0, 0;0.142867356538773;2;0
398988;1000009232188132700;63721295301278;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0209133900179536, 0.24872998125731, 0.968347058931711;0, 0, 0;VALID;0.0222227132627558, 0.267247360292358, 0.963371682909565;-0.0338227, 0, 0;0.141657635569572;VALID;0.0195963421611641, 0.230120730813888, 0.972964764327868;0.0338227, 0, 0;0.142996847629547;2;0
398989;1000009232198259200;63721295301295;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0211622878475362, 0.248204833604034, 0.968476390083234;0, 0, 0;VALID;0.0227620829188226, 0.267051049987857, 0.963413527142722;-0.0338227, 0, 0;0.141995683312416;VALID;0.0195543797519203, 0.229263462487026, 0.97316796648933;0.0338227, 0, 0;0.143260419368744;2;0
398990;1000009232208204800;63721295301295;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0212618314327062, 0.247658123598849, 0.968614158651227;0, 0, 0;VALID;0.0231337357255428, 0.266738765484244, 0.96349118379948;-0.0338227, 0, 0;0.141831293702126;VALID;0.0193815538098421, 0.228479949042787, 0.973355674076707;0.0338227, 0, 0;0.143008574843407;2;0.132025586000665
398991;1000009232218477700;63721295301311;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.021449239836363, 0.247069686320049, 0.968760290377426;0, 0, 0;VALID;0.0235327819768294, 0.266506796199643, 0.96354571025553;-0.0338227, 0, 0;0.141981273889542;VALID;0.0193569177877347, 0.227531442359619, 0.973578323747766;0.0338227, 0, 0;0.143471240997314;2;0.60948492412161
398992;1000009232228525400;63721295301311;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0216519472127853, 0.246645912172295, 0.968863760902735;0, 0, 0;VALID;0.0239202936337939, 0.266272140347212, 0.963601041317094;-0.0338227, 0, 0;0.142227083444595;VALID;0.0193745496186417, 0.226916578496881, 0.973721465938974;0.0338227, 0, 0;0.143312886357307;2;0.816948395487029
398993;1000009232238621700;63721295301328;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0217583819286822, 0.247969575612819, 0.968523444417451;0, 0, 0;VALID;0.0239290935444799, 0.267460504569168, 0.963271652742748;-0.0338227, 0, 0;0.14172899723053;VALID;0.0195787017337861, 0.228376436172245, 0.973376020785228;0.0338227, 0, 0;0.143115326762199;2;0.931953687419479
398994;1000009232248716800;63721295301345;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0206845637019828, 0.258417016713254, 0.965811987033439;0, 0, 0;VALID;0.0223510711595259, 0.281573955282286, 0.959279175904862;-0.0338227, 0, 0;0.140054181218147;VALID;0.0190060240611985, 0.235109757308717, 0.971782986611528;0.0338227, 0, 0;0.141393318772316;2;0.872648595590106
398995;1000009232258743800;63721295301345;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;0.0142057922239063, 0.305544967306746, 0.952071671892831;0, 0, 0;VALID;0.0125577672761529, 0.342545203193082, 0.939417418536855;-0.0338227, 0, 0;0.139830455183983;VALID;0.0158320558360708, 0.268076678216036, 0.96326748133873;0.0338227, 0, 0;0.139940336346626;2;0.218482379147481
398996;1000009232269938600;63721295301362;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-7.95288888687455E-05, 0.381937506499064, 0.924188149028342;0, 0, 0;VALID;-0.00861739688423111, 0.437761186943983, 0.899049989531358;-0.0338227, 0, 0;0.14254355430603;VALID;0.00845864299477236, 0.324654402527844, 0.945794888058703;0.0338227, 0, 0;0.141293689608574;2;0
398997;1000009232280275500;63721295301362;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0201944646814258, 0.476907637642395, 0.878721394273851;0, 0, 0;VALID;-0.0374681833322676, 0.550419002382605, 0.834047394968605;-0.0338227, 0, 0;0.142804309725761;VALID;-0.00276528766186288, 0.399725005327228, 0.916630936255314;0.0338227, 0, 0;0.142272785305977;2;0
398998;1000009232288673000;63721295301378;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0446537643416618, 0.554310578406399, 0.831111198334424;0, 0, 0;VALID;-0.0655441030020721, 0.664570496665504, 0.744345367100124;-0.0338227, 0, 0;0.142596632242203;VALID;-0.0228649041849387, 0.432896841926708, 0.901153438880692;0.0338227, 0, 0;0.143200531601906;2;0
398999;1000009232298981400;63721295301395;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0662623317146786, 0.623775007736556, 0.778790114934052;0, 0, 0;VALID;-0.0886659505216788, 0.76681830253124, 0.635710657548853;-0.0338227, 0, 0;0.143919378519058;VALID;-0.0411131307117544, 0.454885572137797, 0.889600374743596;0.0338227, 0, 0;0.143000304698944;2;0
399000;1000009232308368200;63721295301395;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0768389428148749, 0.699687335153969, 0.710305152657807;0, 0, 0;VALID;-0.0930698260923502, 0.868232695688286, 0.487349970359075;-0.0338227, 0, 0;0.144117921590805;VALID;-0.0545854237033665, 0.476300485877804, 0.877586621748356;0.0338227, 0, 0;0.141468241810799;2;0
399001;1000009232318417100;63721295301412;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0872869006186072, 0.693546620085118, 0.715104246071093;0, 0, 0;VALID;-0.105590337672041, 0.854935745599007, 0.507873558562931;-0.0338227, 0, 0;0.143525511026382;VALID;-0.0629322098427623, 0.484076665297732, 0.872759599820325;0.0338227, 0, 0;0.134587541222572;2;0
399002;1000009232328279700;63721295301412;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0924727275897458, 0.691463408287744, 0.716468526629893;0, 0, 0;VALID;-0.111046384493412, 0.850226200956352, 0.514571771182865;-0.0338227, 0, 0;0.143779218196869;VALID;-0.0677669354931038, 0.486847668365026, 0.870854172787506;0.0338227, 0, 0;0.135508894920349;2;0
399003;1000009232339751400;63721295301428;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0952640926285802, 0.691320602548461, 0.716240586079626;0, 0, 0;VALID;-0.113272381270859, 0.849181907340343, 0.515809515118756;-0.0338227, 0, 0;0.143855690956116;VALID;-0.0710239029106853, 0.488235105852348, 0.869817271976523;0.0338227, 0, 0;0.134895548224449;2;0
399004;1000009232349307700;63721295301445;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0964394266099688, 0.689775454577827, 0.717571779863933;0, 0, 0;VALID;-0.114758463103472, 0.846819533054427, 0.519352648576679;-0.0338227, 0, 0;0.143824875354767;VALID;-0.0719203713533337, 0.488386226912126, 0.869658756954092;0.0338227, 0, 0;0.136066347360611;2;0
399005;1000009232358433000;63721295301445;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0971259829943515, 0.688210149057994, 0.71898076063338;0, 0, 0;VALID;-0.115595466029145, 0.844377343018337, 0.523129611884855;-0.0338227, 0, 0;0.143939733505249;VALID;-0.072529114358368, 0.488625850550291, 0.869473579670133;0.0338227, 0, 0;0.135833755135536;2;0
399006;1000009232368368500;63721295301461;(0.000, -1.300, 0.000);(0.000, 0.000, 0.000);VALID;-0.0974169140243143, 0.686886639393503, 0.720206004893516;0, 0, 0;VALID;-0.116090837488996, 0.842051834134776, 0.526755755622436;-0.0338227, 0, 0;0.143776297569275;VALID;-0.0727179539351495, 0.489238912736043, 0.869112987729639;0.0338227, 0, 0;0.13592903316021;2;0
